algo,variant,param_changed,param_value,total_return,sharpe,sortino,max_drawdown_pct,n_trades,win_rate,exposure_time,total_transaction_cost,final_equity,wall_time_s,run_id,model_dir,result_dir
ddqn,baseline,(baseline),,-2.9500000000000597,-44.29288995564975,-14.943736501443986,-3.231887375529453,1503,0.11393939393939394,0.8704761904761905,30104.0,-19500.000000000597,85.3,hpo_ddqn_baseline_steps20000,models\ddqn\hpo_ddqn_baseline_steps20000,results\ddqn\hpo_ddqn_baseline_steps20000
ddqn,lr_low,lr,0.0003,-1.3095999999999954,-23.91944328780855,-13.226681704621875,-1.3751817741153596,719,0.22192513368983957,0.9521428571428572,13079.0,-3095.9999999999545,123.0,hpo_ddqn_lr_low_steps20000,models\ddqn\hpo_ddqn_lr_low_steps20000,results\ddqn\hpo_ddqn_lr_low_steps20000
ddqn,eps_decay_short,eps_decay_steps,20000,-7.83210000000004,-70.97480498239676,-15.491744688208309,-12.240704179006418,3321,0.07546296296296297,0.8332738095238095,76575.0,-68321.0000000004,127.8,hpo_ddqn_eps_decay_short_steps20000,models\ddqn\hpo_ddqn_eps_decay_short_steps20000,results\ddqn\hpo_ddqn_eps_decay_short_steps20000
ddqn,target_sync_fast,target_update_freq,500,-2.656199999999992,-29.171590221835533,-13.943642068249792,-3.15819650768829,1550,0.16046213093709885,0.8628571428571429,27340.0,-16561.99999999992,134.0,hpo_ddqn_target_sync_fast_steps20000,models\ddqn\hpo_ddqn_target_sync_fast_steps20000,results\ddqn\hpo_ddqn_target_sync_fast_steps20000
ddqn,gamma_low,gamma,0.95,-0.2768999999999982,-6.590152199508359,-6.858273097675152,-0.3292067422150221,188,0.46875,0.8697619047619047,3348.0,7231.000000000018,138.2,hpo_ddqn_gamma_low_steps20000,models\ddqn\hpo_ddqn_gamma_low_steps20000,results\ddqn\hpo_ddqn_gamma_low_steps20000
a2c,baseline,(baseline),,-1.2063000000000101,-23.017144086903237,-13.107290065565605,-1.2299375835934128,503,0.15857605177993528,0.9336309523809524,11061.0,-2063.0000000001014,128.4,hpo_a2c_baseline_steps20000,models\a2c\hpo_a2c_baseline_steps20000,results\a2c\hpo_a2c_baseline_steps20000
a2c,n_steps_long,n_steps,20,-2.5018000000000336,-103.47673076464017,-15.690938151558164,-2.7161467260884824,809,0.18619791666666666,0.9975595238095238,27387.0,-15018.000000000335,75.8,hpo_a2c_n_steps_long_steps20000,models\a2c\hpo_a2c_n_steps_long_steps20000,results\a2c\hpo_a2c_n_steps_long_steps20000
a2c,ent_coef_on,ent_coef,0.01,-4.4420000000000215,-79.08449160011884,-15.564051501378835,-5.182260024301378,2389,0.09719058466211086,0.4907738095238095,46350.0,-34420.00000000022,63.3,hpo_a2c_ent_coef_on_steps20000,models\a2c\hpo_a2c_ent_coef_on_steps20000,results\a2c\hpo_a2c_ent_coef_on_steps20000
a2c,lr_low,learning_rate,0.0003,-3.8438999999999797,-74.95723215514538,-15.53005738733703,-5.041927231381456,2081,0.0862895493767977,0.4535119047619048,37159.0,-28438.9999999998,61.4,hpo_a2c_lr_low_steps20000,models\a2c\hpo_a2c_lr_low_steps20000,results\a2c\hpo_a2c_lr_low_steps20000
ppo,baseline,(baseline),,-1.651299999999956,-35.52654302145883,-14.493420200480694,-1.7714082672035558,915,0.17965367965367965,0.6123214285714286,16285.0,-6512.99999999956,116.7,hpo_ppo_baseline_steps20000,models\ppo\hpo_ppo_baseline_steps20000,results\ppo\hpo_ppo_baseline_steps20000
ppo,n_steps_short,n_steps,512,-2.755000000000006,-51.847187737079906,-15.178964440861906,-3.178770949720701,1368,0.13453536754507628,0.5322023809523809,25559.0,-17550.000000000062,128.6,hpo_ppo_n_steps_short_steps20000,models\ppo\hpo_ppo_n_steps_short_steps20000,results\ppo\hpo_ppo_n_steps_short_steps20000
ppo,n_epochs_low,n_epochs,5,-1.0776000000000105,-26.746122003020208,-13.73379488303657,-1.0870247841202318,627,0.26627218934911245,0.837202380952381,12163.0,-776.0000000001055,112.2,hpo_ppo_n_epochs_low_steps20000,models\ppo\hpo_ppo_n_epochs_low_steps20000,results\ppo\hpo_ppo_n_epochs_low_steps20000
ppo,clip_tight,clip_range,0.1,-1.5612000000000006,-34.08676620768126,-14.39048904369703,-1.6391799544419183,768,0.13895781637717122,0.5688095238095238,14357.0,-5612.0000000000055,124.0,hpo_ppo_clip_tight_steps20000,models\ppo\hpo_ppo_clip_tight_steps20000,results\ppo\hpo_ppo_clip_tight_steps20000
ppo,lr_low,learning_rate,0.0001,-2.859199999999957,-33.61880202886052,-14.354673306641022,-3.25740650801352,1568,0.13982521847690388,0.8657142857142858,28698.0,-18591.999999999567,65.2,hpo_ppo_lr_low_steps20000,models\ppo\hpo_ppo_lr_low_steps20000,results\ppo\hpo_ppo_lr_low_steps20000
