algo,seed,run_id,total_return,sharpe,sortino,max_dd_pct,n_trades,win_rate,exposure,final_equity
ddqn,42,m8_2025_ddqn_seed42_steps200000,0.0,0.0,0.0,0.0,0,0.0,0.0,10000.0
ddqn,123,m8_2025_ddqn_seed123_steps200000,-0.25469999999999693,-6.009363066462323,-5.625892059684488,-0.2539539539539521,120,0.15,0.00367965367965368,7453.000000000031
ddqn,2024,m8_2025_ddqn_seed2024_steps200000,-0.02569999999999909,-2.420839754357787,-2.3931721056523974,-0.02569999999999909,2,0.0,2.7056277056277056e-05,9743.00000000001
ddqn_expdecay,42,m8_2025_ddqn_expdecay_seed42_steps200000,0.0,0.0,0.0,0.0,0,0.0,0.0,10000.0
ddqn_expdecay,123,m8_2025_ddqn_expdecay_seed123_steps200000,0.0,0.0,0.0,0.0,0,0.0,0.0,10000.0
ddqn_expdecay,2024,m8_2025_ddqn_expdecay_seed2024_steps200000,-0.0022000000000007274,-2.420839754357787,-2.3931721056523965,-0.0022000000000007274,2,0.0,2.7056277056277056e-05,9977.999999999993
a2c,42,m8_2025_a2c_seed42_steps200000,-0.05500000000000564,-0.4877567216237152,-0.6976111149819696,-0.28317734581233694,90,0.5,0.9987554112554112,9449.999999999944
a2c,123,m8_2025_a2c_seed123_steps200000,-0.8071999999999786,-5.6958869852797385,-5.996440427384355,-0.8335491668824814,260,0.28365384615384615,0.9985930735930736,1928.000000000214
a2c,2024,m8_2025_a2c_seed2024_steps200000,-1.1299000000000534,-9.868022763141935,-9.489441648063972,-1.1736493936053518,558,0.4631043256997455,0.9955357142857143,-1299.000000000534
ppo,42,m8_2025_ppo_seed42_steps200000,-0.200799999999983,-1.5362534046886216,-2.363341371663331,-0.28618361014782656,172,0.5196078431372549,0.9978625541125541,7992.00000000017
ppo,123,m8_2025_ppo_seed123_steps200000,-0.35329999999998346,-3.291345439601342,-3.8841084995428123,-0.5121377392792108,166,0.4090909090909091,0.9971590909090909,6467.0000000001655
ppo,2024,m8_2025_ppo_seed2024_steps200000,-0.34539999999999416,-3.039457547373144,-3.96587626741721,-0.3807586794059175,105,0.39622641509433965,0.998538961038961,6546.000000000058
